,hint,origin,roots,word
0,?［?＝to do 做；?＝person 人→“person who does 办事者”→］? person who works for another person or organization 代理人／We need some sales ?s in this city. 我们在本市需要一些代售商。,agent［ag＝to do 做；-ent n.＝person 人→“person who does 办事者”→］n. person who works for another person or organization 代理人／We need some sales agents in this city. 我们在本市需要一些代售商。,"['ag', '-ent n.']",agent
1,?［?＝to do 做；?＝the quality or state 表性质或状态→“the ability or place of doing business 办事的能力或场所”→］? ① power or force which causes a result 力量；作用／human ? 人力 ② the office of an ?ent; service organization 代理处；机构／I have booked the hotel through a local travel ?. 我已经通过当地的旅行社预定了宾馆。,agency［ag＝to do 做；-ency n.＝the quality or state 表性质或状态→“the ability or place of doing business 办事的能力或场所”→］n. ① power or force which causes a result 力量；作用／human agency 人力 ② the office of an agent; service organization 代理处；机构／I have booked the hotel through a local travel agency. 我已经通过当地的旅行社预定了宾馆。,"['ag', '-ency n.']",agency
2,?［?＝to do 做；?（?表复数）?＝things 事情→“things to be done 要办的事项”→］? list of things to be discussed or decided upon 议事日程／The most important item on the ? today is what you proposed. 你的提议是今天议事日程的首项。,agenda［ag＝to do 做；-enda（-a表复数）n.＝things 事情→“things to be done 要办的事项”→］n. list of things to be discussed or decided upon 议事日程／The most important item on the agenda today is what you proposed. 你的提议是今天议事日程的首项。,"['ag', '-enda', '-a', 'n.']",agenda
3,?［?＝to do 做；?＝able 能…的→“able to do 能干的”→］? able to do or move quickly or easily 敏捷的；灵活的／The actor is as ? as a monkey. 那个演员像猴子般灵活。,agile［ag＝to do 做；-ile a.＝able 能…的→“able to do 能干的”→］a. able to do or move quickly or easily 敏捷的；灵活的／The actor is as agile as a monkey. 那个演员像猴子般灵活。,"['ag', '-ile a.']",agile
4,?［?＝to drive or keep moving 驱使，使运动；?；?＝to make or cause 使…→“to cause to keep moving steadily 引起不断的动荡”→］? disturb 鼓动／The audience were ?d by his fiery speech. 听众被他的热情的演说所鼓动。,agitate［ag＝to drive or keep moving 驱使，使运动；-it-；-ate v.＝to make or cause 使…→“to cause to keep moving steadily 引起不断的动荡”→］v. disturb 鼓动／The audience were agitated by his fiery speech. 听众被他的热情的演说所鼓动。,"['ag', '-it-', '-ate v.']",agitate
5,"?［?＝to do 做；?＝process or result of 表过程或结果 →］? ① process of doing, or deed 行动，活动／Actions speak louder than words. 行动比言语更有力。② result of doing, or effect 作用／This experiment shows the ? of an acid on metal. 该实验说明酸对金属的作用。③ charge 诉讼／If he doesn't pay us, we have to bring an ? against him. 他如果不还债，我们只好起诉他。","action［act＝to do 做；-ion n.＝process or result of 表过程或结果 →］n. ① process of doing, or deed 行动，活动／Actions speak louder than words. 行动比言语更有力。② result of doing, or effect 作用／This experiment shows the action of an acid on metal. 该实验说明酸对金属的作用。③ charge 诉讼／If he doesn't pay us, we have to bring an action against him. 他如果不还债，我们只好起诉他。","['act', '-ion n.']",action
6,"?［?＝to do 做；?＝able to ~ 会…的 →］? able to do 活跃的，积极的，能动的／Although he is over 70, he is still ?. 他虽然年过70，但依然很活跃。","active［act＝to do 做；-ive a.＝able to ~ 会…的 →］a. able to do 活跃的，积极的，能动的／Although he is over 70, he is still active. 他虽然年过70，但依然很活跃。","['act', '-ive a.']",active
7,?［?＝to do 做；?；?＝the ? or f? of 表行为或事实 →］? existing in f?；real 实际的；现实的／The ? amount of money was not known. 实际金额尚不得而知。,actual［act＝to do 做；-u-；-al a.＝the act or fact of 表行为或事实 →］a. existing in fact；real 实际的；现实的／The actual amount of money was not known. 实际金额尚不得而知。,"['act', '-u-', '-al a.']",actual
8,?［?＝to do 做；?；?＝to make or cause 使…→］? cause to do 驱动，激励／He was ?d by the best of motives. 驱使他行为的动机是非常善良的。,actuate［act＝to do 做；-u-；-ate v.＝to make or cause 使…→］v. cause to do 驱动，激励／He was actuated by the best of motives. 驱使他行为的动机是非常善良的。,"['act', '-u-', '-ate v.']",actuate
9,?［?＝out 出；?＝to drive 驱使→“to drive out；driven out 逼出来；逼出来的”→］Ⅰ? demand or obtain by force 强求，索取／He ?ed obedience from the residents. 他强求居民服从他。→Ⅱ? correct and without mistake 准确的；精确的／He is extremely ? in conduct. 他的行为一丝不苟。,exact［ex-＝out 出；act＝to drive 驱使→“to drive out；driven out 逼出来；逼出来的”→］Ⅰv. demand or obtain by force 强求，索取／He exacted obedience from the residents. 他强求居民服从他。→Ⅱa. correct and without mistake 准确的；精确的／He is extremely exact in conduct. 他的行为一丝不苟。,"['ex-', 'act', 'v.']",exact
